id;char;pinyin;translation;hsk_level
5709;不利于;bù lì yú;unfavorable to, disadvantageous to, harmful to, detrimental to;7
5710;不慎;bù shèn;"incautious; inattentive";7
5711;不适;bù shì;"unwell; indisposed; out of sorts";7
5712;不算;bù suàn;to not count, to have no weight;7
5713;不像话;bù xiàng huà;"unreasonable; shocking; outrageous";7
5714;不屑;bù xiè;"to disdain to do sth; to think sth not worth doing; to feel it beneath one’s dignity";7
5715;不懈;bù xiè;"untiring; unremitting; indefatigable";7
5716;不亚于;bù yà yú;"no less than; not inferior to";7
5717;不亦乐乎;bù yì lè hū;"lit. isn’t that a joy? (quote from Confucius); fig. (jocularly) extremely; awfully";7
5718;不翼而飞;bù yì ér fēi;"to disappear without trace; to vanish all of a sudden; to spread fast; to spread like wildfire";7
5719;不用说;bù yòng shuō;"needless to say; it goes without saying";7
5720;不正之风;bù zhèng zhī fēng;unhealthy tendency;7
5721;补给;bǔ jǐ;"supply; replenishment; to replenish";7
5722;补救;bǔ jiù;to remedy;7
5723;捕捉;bǔ zhuō;"to catch; to seize; to capture";7
5724;哺育;bǔ yù;"to feed; to nurture; to foster";7
5725;不耻下问;bù chǐ xià wèn;not feel ashamed to ask and learn from one’s subordinates;7
5726;不辞而别;bù cí ér bié;to leave without saying good-bye;7
5727;不得而知;bù dé ér zhī;"unknown; unable to find out";7
5728;不得已;bù dé yǐ;"to act against one’s will; to have no alternative but to; to have to; to have no choice; must";7
5729;不妨;bù fáng;"there is no harm in; might as well";7
5730;不服;bù fú;"not to accept sth; to want to have sth overruled or changed; to refuse to obey or comply; to refuse to accept as final; to remain unconvinced by; not to give in to";7
5731;不服气;bù fúqì;to defy, to refuse to accept, to be unconvinced;7
5732;不假思索;bù jiǎ sī suǒ;"to act without taking time to think (idiom); to react instantly; to fire from the hip";7
5733;不解;bù jiě;"to not understand; to be puzzled by; indissoluble";7
5734;不经意;bù jīng yì;"not paying attention; carelessly; by accident";7
5735;不景气;bù jǐng qì;"slack; in a slump";7
5736;不堪;bù kān;"cannot bear; cannot stand; utterly; extremely";7
5737;不可避免;bù kě bì miǎn;unavoidably;7
5738;不可思议;bù kě sī yì;"inconceivable (idiom); unimaginable; unfathomable";7
5739;不肯;bù kěn;unwilling;7
5740;不理;bù lǐ;"to refuse to acknowledge; to pay no attention to; to take no notice of; to ignore";7
5741;不了了之;bù liǎo liǎo zhī;"to settle a matter by leaving it unsettled; to end up with nothing definite";7
5742;不难;bù nán;not difficult to, easy to;7
5743;不平;bù píng;"uneven; injustice; unfairness; wrong; grievance; indignant; dissatisfied";7
5744;不起眼;bù qǐ yǎn;"unremarkable; nothing out of the ordinary";7
5745;不容;bù róng;"must not; cannot; to not allow; cannot tolerate";7
5746;不如说;bù rú shuō;it would be better to say, rather;7
5747;不同寻常;bù tóng xún cháng;extraordinary;7
5748;不为人知;bù wéi rén zhī;"not known to anyone; secret; unknown";7
5749;不惜;bù xī;"not stint; not spare; not hesitate (to do sth); not scruple (to do sth)";7
5750;不相上下;bù xiāng shàng xià;"equally matched; about the same";7
5751;不宜;bù yí;"not suitable; inadvisable; inappropriate";7
5752;不已;bù yǐ;"endlessly; incessantly";7
5753;不以为然;bù yǐ wéi rán;"not to accept as correct (idiom); to object; to disapprove; to take exception to";7
5754;不由得;bù yóu de;"can’t help; cannot but";7
5755;不由自主;bù yóu zì zhǔ;"can’t help; involuntarily (idiom)";7
5756;不予;bù yú;"to withhold; to refuse";7
5757;不约而同;bù yuē ér tóng;"to agree by chance (idiom); taking the same action without prior consultation";7
5758;不知;bù zhī;"not to know; unaware; unknowingly; fig. not to admit (defeat, hardships, tiredness etc)";7
5759;不知不觉;bù zhī bù jué;"unconsciously; unwittingly";7
5760;不准;bù zhǔn;"not to allow; to forbid; to prohibit";7
5761;布局;bù jú;"arrangement; composition; layout; opening (chess jargon)";7
5762;步伐;bù fá;"pace; (measured) step; march";7
5763;步入;bù rù;"to step into; to enter";7
5764;步骤;bù zhòu;"procedure; step";7
5765;部件;bù jiàn;"part; component";7
5766;部署;bù shǔ;"to dispose; to deploy; deployment";7
5767;猜谜;cāi mí;"to guess a riddle; to work out (an answer)";7
5768;猜想;cāi xiǎng;"to guess; to conjecture; to suppose; to suspect";7
5769;才华;cái huá;talent;7
5770;财经;cái jīng;finance and economics;7
5771;财力;cái lì;"financial resources; financial ability";7
5772;财务;cái wù;financial affairs;7
5773;财物;cái wù;"property; belongings";7
5774;财政;cái zhèng;"finances (public); financial";7
5775;裁;cái;"to cut out (as a dress); to cut; to trim; to reduce; to diminish; to cut back (e.g. on staff); decision; judgment";7
5776;裁定;cái dìng;ruling;7
5777;裁决;cái jué;"ruling; adjudication";7
5778;采;cǎi;"to pick; to pluck; to collect; to select; to choose; to gather.";7
5779;采集;cǎi jí;"to gather; to collect; to harvest";7
5780;采矿;cǎi kuàng;mining;7
5781;彩电;cǎi diàn;color TV;7
5782;彩虹;cǎi hóng;rainbow;7
5783;彩霞;cǎi xiá;clouds tinged with sunset hues;7
5784;菜市场;cài shì chǎng;food market;7
5785;参见;cān jiàn;"to refer to; see also; compare (cf.); to pay respect to";7
5786;参军;cān jūn;to join the army;7
5787;参谋;cān móu;"staff officer; to give advice";7
5788;参照;cān zhào;"to consult a reference; to refer to (another document)";7
5789;餐桌;cān zhuō;"dining table; dinner table";7
5790;残;cán;"to destroy; to spoil; to ruin; to injure; cruel; oppressive; savage; brutal; incomplete; disabled; to remain; to survive; remnant; surplus";7
5791;残留;cán liú;"to remain; left over; surplus; remnant";7
5792;残缺;cán quē;"badly damaged; shattered";7
5793;残忍;cán rěn;"cruel; mean; merciless; ruthless";7
5794;惭愧;cán kuì;ashamed;7
5795;惨白;cǎn bái;deathly pale;7
5796;惨痛;cǎn tòng;"bitter; painful; deeply distressed";7
5797;惨重;cǎn zhòng;disastrous;7
5798;灿烂;càn làn;"to glitter; brilliant; splendid";7
5799;苍蝇;cāng ying;housefly;7
5800;沧桑;cāng sāng;"great changes; ups and downs; vicissitudes; abbr. of 滄海桑田|沧海桑田[cāng hǎi sāng tián]";7
5801;舱;cāng;"cabin; the hold of a ship or airplane";7
5802;藏匿;cáng nì;"to cover up; to conceal; to go into hiding";7
5803;藏品;cáng pǐn;"museum piece; collector’s item; precious object";7
5804;藏身;cáng shēn;"to hide; to go into hiding; to take refuge";7
5805;操控;cāo kòng;"to control; to manipulate";7
5806;操劳;cāo láo;"to work hard; to look after";7
5807;操心;cāo xīn;to worry about;7
5808;槽;cáo;"trough; manger; groove; channel; (Tw) (computing) hard drive";7
5809;草案;cǎo àn;draft (legislation, proposal etc);7
5810;草坪;cǎo píng;lawn;7
5811;侧面;cè miàn;"lateral side; side; aspect; profile";7
5812;侧重;cè zhòng;to place particular emphasis on;7
5813;测算;cè suàn;to take measurements and calculate;7
5814;测验;cè yàn;"test; to test";7
5815;层出不穷;céng chū bù qióng;"more and more emerge; innumerable succession; breeding like flies (idiom)";7
5816;蹭;cèng;"to rub against; to walk slowly; (coll.) to freeload";7
5817;差错;chā cuò;"mistake; slip-up; fault; error (in data transmission); accident; mishap";7
5818;差额;chā é;"balance (financial); discrepancy (in a sum or quota); difference";7
5819;插手;chā shǒu;"to get involved in; to meddle; interference";7
5820;插图;chā tú;illustration;7
5821;插嘴;chā zuǐ;"to interrupt (sb talking); to butt in; to cut into a conversation";7
5822;茶道;chá dào;"Japanese tea ceremony; sado";7
5823;茶馆儿;chá guǎn r;a teashop;7
5824;查处;chá chǔ;to investigate and handle (a criminal case);7
5825;查明;chá míng;"to investigate and find out; to ascertain";7
5826;查找;chá zhǎo;"to search for; to look up";7
5827;察觉;chá jué;"to sense; to perceive; to become aware of; to detect";7
5828;察看;chá kàn;"to watch; to look carefully at";7
5829;诧异;chà yì;"flabbergasted; astonished";7
5830;掺;chān;to mix;7
5831;搀;chān;"to take by the arm and assist; to mix; to blend; to dilute; to adulterate";7
5832;馋;chán;"gluttonous; greedy; to have a craving";7
5833;禅杖;chán zhàng;the staff of a Buddhist monk;7
5834;缠;chán;"to wind around; to wrap round; to coil; tangle; to involve; to bother; to annoy";7
5835;产;chǎn;"to give birth; to reproduce; to produce; product; resource; estate; property";7
5836;产地;chǎn dì;"source (of a product); place of origin; manufacturing location";7
5837;产物;chǎn wù;"product; result (of)";7
5838;产值;chǎn zhí;"value of output; output value";7
5839;铲;chǎn;"to shovel; to remove; spade; shovel";7
5840;铲子;chǎn zi;"shovel; spade; trowel; spatula (kitchen utensil)";7
5841;阐述;chǎn shù;"to expound (a position); to elaborate (on a topic); to treat (a subject)";7
5842;颤抖;chàn dǒu;"to shudder; to shiver; to shake; to tremble";7
5843;猖狂;chāng kuáng;"savage; furious";7
5844;长达;cháng dá;"to extend as long as; to lengthen out to";7
5845;长期以来;cháng qī yǐ lái;ever since a long time ago;7
5846;长效;cháng xiào;to be effective over an extended period;7
5847;长征;cháng zhēng;"expedition; long journey; Long March (retreat of the Red Army 1934-1935)";7
5848;长足;cháng zú;remarkable (progress, improvement, expansion etc);7
5849;常理;cháng lǐ;"common sense; conventional reasoning and morals";7
5850;常人;cháng rén;ordinary person;7
5851;常态;cháng tài;normal state;7
5852;常温;cháng wēn;"room temperature; ordinary temperatures";7
5853;偿还;cháng huán;"to repay; to reimburse";7
5854;嫦娥;cháng é;"Chang’e, the lady in the moon (Chinese mythology); one of the Chang’e series of PRC lunar spacecraft";7
5855;厂家;chǎng jiā;"factory; factory owners";7
5856;敞开;chǎng kāi;"to open wide; unrestrictedly";7
5857;畅谈;chàng tán;"to chat; a long talk; verbose; to talk freely to one’s heart’s content";7
5858;畅销;chàng xiāo;"to sell well; best seller; chart-topping";7
5859;倡议;chàng yì;"to suggest; to initiate; proposal; initiative";7
5860;抄袭;chāo xí;"to plagiarize; to copy; to attack the flank or rear of an enemy";7
5861;钞票;chāo piào;"paper money; a bill (e.g. 100 yuan)";7
5862;超标;chāo biāo;"to cross the limit; to be over the accepted norm; excessive";7
5863;超车;chāo chē;to overtake (another car);7
5864;超前;chāo qián;"to be ahead of one’s time; to surpass or outdo one’s predecessors; to be ahead of the pack; to take the lead; advanced";7
5865;超速;chāo sù;"to exceed the speed limit; to speed; high-speed";7
5866;朝代;cháo dài;"dynasty; reign (of a king)";7
5867;朝着;cháo zhe;"facing; advancing (towards)";7
5868;嘲弄;cháo nòng;"to tease; to poke fun at; to make fun of";7
5869;嘲笑;cháo xiào;"to jeer at; to deride; to ridicule; mockery; derision";7
5870;吵嘴;chǎo zuǐ;to quarrel;7
5871;车道;chē dào;"traffic lane; driveway";7
5872;车祸;chē huò;"traffic accident; car crash";7
5873;车间;chē jiān;workshop;7
5874;车轮;chē lún;wheel;7
5875;车速;chē sù;vehicle speed;7
5876;车位;chē wèi;"parking spot; unloading point; garage place; stand for taxi";7
5877;车厢;chē xiāng;carriage;7
5878;车型;chē xíng;(a car’s) make and model;7
5879;车轴;chē zhóu;axle;7
5880;扯;chě;"to pull; to tear; (of cloth, thread etc) to buy; to chat; to gossip; (coll.) (Tw) ridiculous; hokey";7
5881;彻夜;chè yè;the whole night;7
5882;撤;chè;"to remove; to take away; to withdraw";7
5883;撤换;chè huàn;"to dismiss and replace (sb); to replace (sb or sth)";7
5884;沉甸甸;chén diàn diàn;heavy;7
5885;沉淀;chén diàn;"to settle; to precipitate (solid sediment out of a solution)";7
5886;沉浸;chén jìn;"to soak; to permeate; to immerse";7
5887;沉闷;chén mèn;"oppressive (of weather); heavy; depressed; not happy; (of sound) dull; muffled";7
5888;沉迷;chén mí;"to be engrossed; to be absorbed with; to lose oneself in; to be addicted to";7
5889;沉思;chén sī;"to contemplate; to ponder; contemplation; meditation";7
5890;沉稳;chén wěn;"steady; calm; unflustered";7
5891;沉着;chén zhuó;"steady; calm and collected; not nervous";7
5892;陈旧;chén jiù;old-fashioned;7
5893;陈列;chén liè;"to display; to exhibit";7
5894;陈述;chén shù;"an assertion; to declare; to state";7
5895;衬托;chèn tuō;to set off;7
5896;趁;chèn;"to avail oneself of; to take advantage of";7
5897;趁机;chèn jī;"to seize an opportunity; to take advantage of situation";7
5898;趁早;chèn zǎo;"as soon as possible; at the first opportunity; the sooner the better; before it’s too late";7
5899;趁着;chèn zhe;while (an opportunity exists), to take advantage of, to avail oneself of;7
5900;称呼;chēng hu;"to call; to address as; appellation";7
5901;称作;chēng zuò;"to be called; to be known as";7
5902;成才;chéng cái;"to make sth of oneself; to become a person who is worthy of respect";7
5903;成家;chéng jiā;"to settle down and get married (of a man); to become a recognized expert";7
5904;成年;chéng nián;"to grow to adulthood; fully grown; the whole year";7
5905;成年;chéng nián;"to grow to adulthood; fully grown; the whole year";7
5906;成千上万;chéng qiān shàng wàn;"lit. by the thousands and tens of thousands (idiom); untold numbers; innumerable; thousands upon thousands";7
5907;成群结队;chéng qún jié duì;"making up a group, forming a troupe (idiom); in large numbers; as a large crowd";7
5908;成天;chéng tiān;"(coll.) all day long; all the time";7
5909;成问题;chéng wèn tí;problematic, to be a problem;7
5910;成型;chéng xíng;"to become shaped; to become formed";7
5911;呈现;chéng xiàn;"to appear; to emerge; to present (a certain appearance); to demonstrate";7
5912;诚恳;chéng kěn;"sincere; honest; cordial";7
5913;诚心诚意;chéng xīn chéng yì;"earnestly and sincerely (idiom); with all sincerity";7
5914;诚意;chéng yì;"sincerity; good faith";7
5915;诚挚;chéng zhì;"sincere; cordial";7
5916;承包;chéng bāo;"to contract; to undertake (a job)";7
5917;承载;chéng zài;"to bear the weight; to sustain";7
5918;城墙;chéng qiáng;city wall;7
5919;乘人之危;chéng rén zhī wēi;to take advantage of sb’s precarious position;7
5920;盛;chéng;"to hold; to contain; to ladle; to pick up with a utensil.";7
5921;惩处;chéng chǔ;"to punish; to administer justice";7
5922;惩罚;chéng fá;"penalty; punishment; to punish";7
5923;澄清;chéng qīng;"clear (of liquid); limpid; to clarify; to make sth clear; to be clear (about the facts)";7
5924;橙汁;chéng zhī;orange juice;7
5925;逞能;chěng néng;"to show off one’s ability; to boast one’s merits";7
5926;逞强;chěng qiáng;"to show off; to try to be brave";7
5927;秤;chèng;"steelyard; Roman balance";7
5928;吃不上;chī bu shàng;"unable to get anything to eat; to miss a meal";7
5929;吃喝玩乐;chī hē wán lè;"to eat, drink and be merry (idiom); to abandon oneself to a life of pleasure";7
5930;吃苦;chī kǔ;to bear hardships;7
5931;吃亏;chī kuī;"to suffer losses; to come to grief; to lose out; to get the worst of it; to be at a disadvantage; unfortunately";7
5932;痴呆;chī dāi;"imbecility; dementia";7
5933;痴迷;chī mí;"infatuated; obsessed";7
5934;痴心;chī xīn;infatuation;7
5935;池塘;chí táng;"pool; pond";7
5936;驰名;chí míng;famous;7
5937;迟迟;chí chí;"late (with a task etc); slow";7
5938;迟疑;chí yí;to hesitate;7
5939;迟早;chí zǎo;sooner or later;7
5940;持;chí;"to hold; to grasp; to support; to maintain; to persevere; to manage; to run (i.e. administer); to control";7
5941;持久;chí jiǔ;"lasting; enduring; persistent; permanent; protracted; endurance; persistence; to last long";7
5942;持之以恒;chí zhī yǐ héng;"to pursue unremittingly (idiom); to persevere";7
5943;尺度;chǐ dù;"scale; yardstick";7
5944;耻辱;chǐ rǔ;"disgrace; shame; humiliation";7
5945;耻笑;chǐ xiào;"to sneer at sb; to ridicule";7
5946;赤字;chì zì;"(financial) deficit; red letter";7
5947;翅膀;chì bǎng;wing;7
5948;冲刺;chōng cì;"to sprint; to spurt; to dash; big effort";7
5949;冲浪;chōng làng;"to surf; surfing";7
5950;冲洗;chōng xǐ;"to rinse; to wash; to develop (photographic film)";7
5951;冲撞;chōng zhuàng;"to collide; jerking motion; to impinge; to offend; to provoke";7
5952;充;chōng;"to fill; to satisfy; to fulfill; to act in place of; substitute; sufficient; full";7
5953;充当;chōng dāng;"to serve as; to act as; to play the role of";7
5954;充沛;chōng pèi;"abundant; plentiful; vigorous";7
5955;充实;chōng shí;"rich; full; substantial; to enrich; to augment; to substantiate (an argument)";7
5956;重播;chóng bō;"to replay; to rerun; (agriculture) to reseed; to oversow";7
5957;重叠;chóng dié;"to overlap; to superimpose; to telescope; to run together; to duplicate; one over another; superposition; an overlap; redundancy; reduplication (in Chinese grammar, e.g. 散散步[sàn sàn bù] to have a stroll)";7
5958;重返;chóng fǎn;to return to;7
5959;重合;chóng hé;"to match up; to coincide";7
5960;重申;chóng shēn;"to reaffirm; to reiterate";7
5961;重现;chóng xiàn;to reappear;7
5962;崇高;chóng gāo;"majestic; sublime";7
5963;崇尚;chóng shàng;"to hold up (as an model); to hold in esteem; to revere; to advocate";7
5964;宠;chǒng;"to love; to pamper; to spoil; to favor";7
5965;宠爱;chǒng ài;to dote on sb;7
5966;抽签;chōu qiān;"to perform divination with sticks; to draw lots; a ballot (in share dealing)";7
5967;抽屉;chōu ti;drawer;7
5968;抽象;chōu xiàng;"abstract; abstraction";7
5969;仇;chóu;"hatred; animosity; enmity; foe; enemy; to feel animosity toward (the wealthy, foreigners etc)";7
5970;仇恨;chóu hèn;"to hate; hatred; enmity; hostility";7
5971;仇人;chóu rén;"foe; one’s personal enemy";7
5972;稠;chóu;"dense; crowded; thick; many";7
5973;稠密;chóu mì;dense;7
5974;愁眉苦脸;chóu méi kǔ liǎn;"to look anxious (idiom); to look miserable";7
5975;筹;chóu;"chip (in gambling); token (for counting); ticket; to prepare; to plan; to raise (funds); resource; means";7
5976;筹办;chóu bàn;"to arrange; to make preparations";7
5977;筹备;chóu bèi;"preparations; to get ready for sth";7
5978;筹措;chóu cuò;to raise (money);7
5979;筹划;chóu huà;to plan and prepare;7
5980;筹集;chóu jí;"to collect money; to raise funds";7
5981;筹码;chóu mǎ;"bargaining chip; gaming chip; casino token";7
5982;丑恶;chǒu è;"ugly; repulsive";7
5983;丑陋;chǒu lòu;ugly;7
5984;丑闻;chǒu wén;scandal;7
5985;瞅;chǒu;(dialect) to look at;7
5986;出版社;chū bǎn shè;publishing house;7
5987;出厂;chū chǎng;to leave the factory (of finished goods);7
5988;出丑;chū chǒu;"shameful; scandalous; to be humiliated; to make a fool of sb or oneself; to make sb lose face";7
5989;出道;chū dào;"to make one’s first public performance (of an entertainer etc); to start one’s career";7
5990;出发点;chū fā diǎn;"starting point; (fig.) basis; motive";7
5991;出风头;chū fēng tou;"to push oneself forward; to seek fame; to be in the limelight; same as 出鋒頭|出锋头[chū fēng tou]";7
5992;出境;chū jìng;"to leave a country or region; emigration; outbound (tourism)";7
5993;出局;chū jú;"to send off (player for a foul); to knock out (i.e. to beat in a knock-out tournament); to eliminate; to call out; to kill off; to pull out of (a competition); to retire (a runner in baseball); out (i.e. man out in baseball)";7
5994;出具;chū jù;"to issue (document, certificate etc); to provide";7
5995;出口成章;chū kǒu chéng zhāng;"(idiom) (of one’s speech) eloquent; articulate";7
5996;出卖;chū mài;"to offer for sale; to sell; to sell out or betray";7
5997;出毛病;chū máo bìng;"a problem appears; to break down";7
5998;出难题;chū nán tí;to raise a tough question;7
5999;出人意料;chū rén yì liào;"unexpected (idiom); surprising";7
6000;出任;chū rèn;"to take up a post; to start in a new job";7
6001;出山;chū shān;"to leave the mountain (of a hermit); to come out of obscurity to a government job; to take a leading position";7
6002;出身;chū shēn;"to be born of; to come from; family background; class origin";7
6003;出示;chū shì;"to show; to take out and show to others; to display";7
6004;出手;chū shǒu;"to dispose of; to spend (money); to undertake a task";7
6005;出头;chū tóu;"to get out of a predicament; to stick out; to take the initiative; remaining odd fraction after a division; a little more than";7
6006;出土;chū tǔ;"to dig up; to appear in an excavation; unearthed; to come up out of the ground";7
6007;出息;chū xi;"future prospects; profit; to mature; to grow up";7
6008;出血;chū xuè;"to bleed; bleeding; (fig.) to spend money in large amounts";7
6009;出演;chū yǎn;"to appear (in a show etc); an appearance (on stage etc)";7
6010;出洋相;chū yáng xiàng;to make a fool of oneself;7
6011;出游;chū yóu;"to go on a tour; to have an outing";7
6012;出众;chū zhòng;"to stand out; outstanding";7
6013;出主意;chū zhǔ yi;to come up with ideas, to work out ideas;7
6014;出资;chū zī;"to fund; to put money into sth; to invest";7
6015;出自;chū zì;to come from;7
6016;出走;chū zǒu;"to leave home; to go off; to run away";7
6017;初次;chū cì;"for the first time; first (meeting, attempt etc)";7
6018;初衷;chū zhōng;original intention or aspiration;7
6019;除此之外;chú cǐ zhī wài;"apart from this; in addition to this";7
6020;除去;chú qù;"to eliminate; to remove; except for; apart from";7
6021;除外;chú wài;"to exclude; not including sth (when counting or listing); except for";7
6022;处方;chǔ fāng;"medical prescription; recipe; formula";7
6023;处境;chǔ jìng;situation (of a person);7
6024;处置;chǔ zhì;"to handle; to take care of; to punish";7
6025;储备;chǔ bèi;"reserves; to store up";7
6026;储蓄;chǔ xù;"to deposit money; to save; savings";7
6027;触动;chù dòng;"to touch; to stir up (trouble or emotions); to move (sb’s emotions or worry)";7
6028;触犯;chù fàn;"to violate; to offend";7
6029;触觉;chù jué;"touch; sense of touch";7
6030;触摸;chù mō;to touch;7
6031;触目惊心;chù mù jīng xīn;"lit. shocks the eye, astonishes the heart (idiom); shocking; horrible to see; a ghastly sight";7
6032;揣;chuāi;"to put into (one’s pockets, clothes); Taiwan pr. [chuǎi]";7
6033;揣测;chuǎi cè;"to guess; to conjecture";7
6034;揣摩;chuǎi mó;"to analyze; to try to figure out; to try to fathom";7
6035;踹;chuài;"to kick; to trample; to tread on";7
6036;川流不息;chuān liú bù xī;"the stream flows without stopping (idiom); unending flow";7
6037;穿过;chuān guò;to pass through;7
6038;穿小鞋;chuān xiǎo xié;"lit. to make sb wear tight shoes (idiom); to make life difficult for sb";7
6039;穿越;chuān yuè;"to pass through; to traverse; to cross";7
6040;穿着;chuān zhuó;"attire; clothes; dress";7
6041;传承;chuán chéng;"to pass on (to future generations); passed on (from former times); a continued tradition; an inheritance";7
6042;传奇;chuán qí;"legendary; fantasy saga; romance; short stories of the Tang and Song Dynasty";7
6043;传染;chuán rǎn;"to infect; contagious";7
6044;传染病;chuán rǎn bìng;"infectious disease; contagious disease; pestilence";7
6045;传人;chuán rén;"to teach; to impart; a disciple; descendant";7
6046;传授;chuán shòu;"to impart; to pass on; to teach";7
6047;传闻;chuán wén;rumor;7
6048;船舶;chuán bó;"shipping; boats";7
6049;船桨;chuán jiǎng;oar;7
6050;喘;chuǎn;"to gasp; to pant; asthma";7
6051;喘息;chuǎn xī;"to gasp for breath; to take a breather";7
6052;串门;chuàn mén;"to call on sb; to drop in; to visit sb’s home";7
6053;创伤;chuāng shāng;"wound; injury; trauma";7
6054;床位;chuáng wèi;"bed (in hospital, hotel, train etc); berth; bunk";7
6055;创;chuàng;"to begin; to initiate; to inaugurate; to start; to create";7
6056;创始人;chuàng shǐ rén;"creator; founder; initiator";7
6057;吹了;chuī le;"failed; busted; to have not succeeded; to have died; to have parted company; to have chilled (of a relationship)";7
6058;吹牛;chuī niú;"to talk big; to shoot off one’s mouth; to chat (dialect)";7
6059;吹捧;chuī pěng;"to flatter; to laud sb’s accomplishments; adulation";7
6060;垂;chuí;"to hang (down); droop; dangle; bend down; hand down; bequeath; nearly; almost; to approach";7
6061;垂头丧气;chuí tóu sàng qì;"hanging one’s head dispiritedly (idiom); dejected; crestfallen";7
6062;捶;chuí;"to beat with the fist; to hammer; to cudgel";7
6063;锤子;chuí zi;hammer;7
6064;纯粹;chún cuì;"pure; unadulterated; purely; completely";7
6065;纯洁;chún jié;"pure; clean and honest; to purify";7
6066;纯朴;chún pǔ;variant of 淳樸|淳朴[chún pǔ];7
6067;醇厚;chún hòu;"mellow and rich; simple and kind";7
6068;蠢;chǔn;"stupid; sluggish; clumsy; to wiggle (of worms); to move in a disorderly fashion";7
6069;戳;chuō;"to jab; to poke; to stab; to sprain; to blunt; to fuck (vulgar); to stand sth upright";7
6070;绰号;chuò hào;nickname;7
6071;瓷;cí;"chinaware; porcelain; china";7
6072;瓷器;cí qì;"chinaware; porcelain";7
6073;辞;cí;"to resign; to dismiss; to decline; to take leave; ballad (archaic poetic genre); variant of 詞|词[cí]";7
6074;辞呈;cí chéng;(written) resignation;7
6075;辞去;cí qù;"to resign; to quit";7
6076;辞退;cí tuì;"to dismiss; to discharge; to fire";7
6077;慈善;cí shàn;"benevolent; charitable";7
6078;慈祥;cí xiáng;"kindly; benevolent (often of older person)";7
6079;磁带;cí dài;magnetic tape;7
6080;磁卡;cí kǎ;"magnetic card; IC Card (telephone)";7
6081;磁盘;cí pán;(computer) disk;7
6082;此起彼伏;cǐ qǐ bǐ fú;"up here, down there (idiom); to rise and fall in succession; no sooner one subsides, the next arises; repeating continuously; occurring again and again (of applause, fires, waves, protests, conflicts, uprisings etc)";7
6083;次日;cì rì;"next day; the morrow";7
6084;伺候;cì hòu;"to serve; to wait upon";7
6085;刺耳;cì ěr;ear-piercing;7
6086;刺骨;cì gǔ;"piercing; cutting; bone-chilling; penetrating (cold)";7
6087;刺绣;cì xiù;"to embroider; embroidery";7
6088;赐;cì;"to confer; to bestow; to grant";7
6089;赐教;cì jiào;to grant instructions, to condescend to teach, to enlighten;7
6090;匆匆;cōng cōng;hurriedly;7
6091;匆忙;cōng máng;"hasty; hurried";7
6092;葱;cōng;"scallion; green onion";7
6093;从今以后;cóng jīn yǐ hòu;henceforward, from now on;7
6094;从来不;cóng lái bù;never;7
6095;从容;cóng róng;"to go easy; unhurried; calm; Taiwan pr. [cōng róng]";7
6096;从容不迫;cóng róng bù pò;"calm; unruffled";7
6097;从头;cóng tóu;"anew; from the start";7
6098;从未;cóng wèi;never;7
6099;从业;cóng yè;to practice (a trade);7
6100;从早到晚;cóng zǎo dào wǎn;from morning to night, from dawn to dusk, the entire day;7
6101;丛林;cóng lín;"jungle; thicket; forest; Buddhist monastery";7
6102;凑;còu;"to gather together, pool or collect; to happen by chance; to move close to; to exploit an opportunity";7
6103;凑合;còu he;"to bring together; to make do in a bad situation; to just get by; to improvise; passable; not too bad";7
6104;凑巧;còu qiǎo;"fortuitously; luckily; as chance has it";7
6105;粗暴;cū bào;"rough; cruel";7
6106;粗糙;cū cāo;"crude; gruff; rough; coarse";7
6107;粗鲁;cū lǔ;"coarse; crude (in one’s manner); boorish";7
6108;粗略;cū lüè;"rough (not precise or accurate); cursory";7
6109;粗心大意;cū xīn dà yì;"negligent; careless; inadvertent";7
6110;促成;cù chéng;"to facilitate; to effect";7
6111;簇拥;cù yōng;"to crowd around; to escort";7
6112;窜;cuàn;"to flee; to scuttle; to exile or banish; to amend or edit";7
6113;催;cuī;"to urge; to press; to prompt; to rush sb; to hasten sth; to expedite";7
6114;催促;cuī cù;to urge;7
6115;催眠;cuī mián;hypnosis;7
6116;摧毁;cuī huǐ;"to destroy; to wreck";7
6117;脆弱;cuì ruò;"weak; frail";7
6118;翠绿;cuì lǜ;"greenish-blue; emerald green";7
6119;存放;cún fàng;"to deposit; to store; to leave in sb’s care";7
6120;存心;cún xīn;deliberately;7
6121;存折;cún zhé;"passbook; bankbook";7
6122;搓;cuō;"to rub or roll between the hands or fingers; to twist";7
6123;磋商;cuō shāng;"to consult; to discuss seriously; to negotiate; to confer; negotiations; consultations";7
6124;挫折;cuò zhé;"setback; reverse; check; defeat; frustration; disappointment; to frustrate; to discourage; to set sb back; to blunt; to subdue";7
6125;措手不及;cuò shǒu bù jí;"no time to deal with it (idiom); caught unprepared";7
6126;错别字;cuò bié zì;incorrectly written or mispronounced characters;7
6127;错觉;cuò jué;"misconception; illusion; misperception";7
6128;错位;cuò wèi;"to misplace; displacement (e.g. of broken bones); out of alignment; faulty contact; erroneous judgment; inversion (medical, e.g. breach delivery)";7
6129;错综复杂;cuò zōng fù zá;tangled and complicated (idiom);7
6130;搭乘;dā chéng;"to ride as a passenger; to travel by (car, plane etc)";7
6131;搭建;dā jiàn;"to build (esp. with simple materials); to knock together (a temporary shed); to rig up";7
