id;char;pinyin;translation;hsk_level
316;上班;shàng bān;go to work;1
317;上边;shàng bian;above;1
318;上车;shàng chē;get on to the car;1
319;上次;shàng cì;last time;1
320;上课;shàng kè;go to class;1
321;上网;shàng wǎng;go online;1
322;上午;shàng wǔ;morning;1
323;上学;shàng xué;go to school;1
324;少;shǎo;"little; less";1
325;谁;shéi/shuí;who;1
326;身上;shēn shang;on the body;1
327;身体;shēn tǐ;body;1
328;什么;shén me;what;1
329;生病;shēng bìng;sick;1
330;生气;shēng qì;"angry; pissed off";1
331;生日;shēng rì;birthday;1
332;十;shí;ten;1
333;时候;shí hou;when;1
334;时间;shí jiān;time;1
335;事;shì;"thing; affair";1
336;试;shì;"try; test";1
337;是;shì;"yes; am/is/are";1
338;是不是;shì bu shì;is not it;1
339;手;shǒu;hand;1
340;手机;shǒu jī;handphone;1
341;书;shū;book;1
342;书包;shū bāo;school bag;1
343;书店;shū diàn;bookstore;1
344;树;shù;tree;1
345;水;shuǐ;water;1
346;水果;shuǐ guǒ;fruit;1
347;睡;shuì;sleep;1
348;睡觉;shuì jiào;go to bed;1
349;说;shuō;say;1
350;说话;shuō huà;speak;1
351;四;sì;four;1
352;送;sòng;give away;1
353;岁;suì;year (old);1
354;他;tā;he;1
355;他们;tā men;they;1
356;她;tā;she;1
357;她们;tā men;they;1
358;太;tài;too;1
359;天;tiān;day;1
360;天气;tiān qì;weather;1
361;听;tīng;listen;1
362;听到;tīng dào;hear;1
363;听见;tīng jiàn;hear;1
364;听写;tīng xiě;dictation;1
365;同学;tóng xué;classmate;1
366;图书馆;tú shū guǎn;library;1
367;外;wài;out;1
368;外边;wài bian;outside;1
369;外国;wài guó;foreign country;1
370;外语;wài yǔ;foreign language;1
371;玩儿;wánr;play;1
372;晚;wǎn;late;1
373;晚饭;wǎn fàn;dinner;1
374;晚上;wǎn shang;at night;1
375;网上;wǎng shang;on the internet;1
376;网友;wǎng yǒu;netizen;1
377;忘;wàng;forget;1
378;忘记;wàng jì;forget;1
379;问;wèn;ask;1
380;我;wǒ;I;1
381;我们;wǒ men;we;1
382;五;wǔ;five;1
383;午饭;wǔ fàn;lunch;1
384;西;xī;west;1
385;西边;xī bian;west side;1
386;洗;xǐ;wash;1
387;洗手间;xǐ shǒu jiān;restroom;1
388;喜欢;xǐ huan;like;1
389;下;xià;"under; off";1
390;下班;xià bān;off work;1
391;下边;xià bian;below;1
392;下车;xià chē;get off the car;1
393;下次;xià cì;next time;1
394;下课;xià kè;end of class;1
395;下午;xià wǔ;afternoon;1
396;下雨;xià yǔ;rain;1
397;先;xiān;first;1
398;先生;xiān sheng;Mister;1
399;现在;xiàn zài;right now;1
400;想;xiǎng;"miss; want; think";1
401;小;xiǎo;small;1
402;小孩儿;xiǎo háir;child;1
403;小姐;xiǎo jiě;Miss;1
